post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,keywords,Predictions
"лекар от пловдив осъди жена си. писала му съобщения: некадърник, срам за болницата. остави да умре",12/1/2021 21:30,-0.19375847786366804,-0.182758665287675,-0.3299683460848399,petel.bg,1,умре,True,16,5.1875,0,"['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', '.', 'писала', 'му', 'съобщения', ':', 'некадърник', ',', 'срам', 'за', 'болницата', '.', 'остави', 'да', 'умре']","['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', 'писала', 'му', 'съобщения', 'некадърник', 'срам', 'за', 'болницата', 'остави', 'да', 'умре']",5,4,0,лекар от пловдив осъди жена си срам за болницата писала му съобщения остави да умре некадърник,1
"цветанов хвърли ""бомба"": имаше подмяна на вота, докато бях в герб",12/1/2021 19:30,1.2303962573385896,1.095035119269847,2.6823905367974246,petel.bg,1,герб,True,11,5.0,1,"['цветанов', 'хвърли', '``', 'бомба', ""''"", ':', 'имаше', 'подмяна', 'на', 'вота', ',', 'докато', 'бях', 'в', 'герб']","['цветанов', 'хвърли', '', 'бомба', '', 'имаше', 'подмяна', 'на', 'вота', 'докато', 'бях', 'в', 'герб']",3,4,0,"бомба "": имаше подмяна на вота докато бях в герб цветанов хвърли",1
драма на хижа ком. майка с 4 малки деца е в капан и няма измъкване,12/1/2021 17:30,-0.06739462845723274,-0.149569216338129,0.66318927687416,petel.bg,1,измъкване,True,15,3.466666667,1,"['драма', 'на', 'хижа', 'ком', '.', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']","['драма', 'на', 'хижа', 'ком', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']",6,1,0,майка с 4 малки деца е в капан и няма измъкване драма на хижа ком,1
"от последните минути! решиха за учениците от 5 до 12 клас. връщат се в клас, но само за",12/1/2021 12:56,-0.15163719472818962,-0.03340614501471788,-0.0011082060321909392,petel.bg,1,за,False,18,3.888888889,0,"['от', 'последните', 'минути', '!', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', '.', 'връщат', 'се', 'в', 'клас', ',', 'но', 'само', 'за']","['от', 'последните', 'минути', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', 'връщат', 'се', 'в', 'клас', 'но', 'само', 'за']",9,3,1,решиха за учениците от 5 до 12 клас връщат се в клас от последните минути но само за,1
герб и радев заедно,12/1/2021 10:12,-0.20969626067168692,-0.2574349254241536,-0.09976624804798563,petel.bg,1,заедно,True,4,4.0,0,"['герб', 'и', 'радев', 'заедно']","['герб', 'и', 'радев', 'заедно']",2,0,0,герб и радев заедно,1
извънредно! българия не помни такъв кошмар! на рожден ден мъж заключи 2 момичета и 2 дни ги,11/1/2021 20:42,-0.08560923738068286,-0.050000869489490896,0.4856048012457295,petel.bg,1,ги,False,17,4.411764706,2,"['извънредно', '!', 'българия', 'не', 'помни', 'такъв', 'кошмар', '!', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']","['извънредно', 'българия', 'не', 'помни', 'такъв', 'кошмар', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']",7,2,2,на рожден ден мъж заключи 2 момичета и 2 дни ги българия не помни такъв кошмар извънредно,1
"борисов на мястото на стихията. спасява хората. обяви, че",11/1/2021 19:27,0.3276347025700921,0.08275692630869323,2.9849418656458617,petel.bg,1,че,False,9,5.444444444,0,"['борисов', 'на', 'мястото', 'на', 'стихията', '.', 'спасява', 'хората', '.', 'обяви', ',', 'че']","['борисов', 'на', 'мястото', 'на', 'стихията', 'спасява', 'хората', 'обяви', 'че']",3,3,0,борисов на мястото на стихията спасява хората че обяви,1
от последните минути! мъж се обеси в ареста в пловдив,11/1/2021 16:57,-0.16302132530534594,-0.1744613030502885,-0.24446470967115116,petel.bg,1,пловдив,True,10,4.4,0,"['от', 'последните', 'минути', '!', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']","['от', 'последните', 'минути', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']",4,1,1,мъж се обеси в ареста в пловдив от последните минути,1
нова промяна за всички шофьори. до месеци слагат нови стикери на колите ни,10/1/2021 22:54,-0.15960608613219904,0.17402791091994482,0.15674466119308056,petel.bg,1,ни,True,13,4.769230769,0,"['нова', 'промяна', 'за', 'всички', 'шофьори', '.', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']","['нова', 'промяна', 'за', 'всички', 'шофьори', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']",7,1,0,до месеци слагат нови стикери на колите ни нова промяна за всички шофьори,1
тотомилионер от благоевград си търси шофьор за 1000 лева заплата,10/1/2021 18:35,0.2024092662213724,0.008080666172214661,0.3869467592299348,petel.bg,1,заплата,True,10,5.5,0,"['тотомилионер', 'от', 'благоевград', 'си', 'търси', 'шофьор', 'за', '1000', 'лева', 'заплата']","['тотомилионер', 'от', 'благоевград', 'си', 'търси', 'шофьор', 'за', '1000', 'лева', 'заплата']",3,0,0,тотомилионер от благоевград си търси шофьор за 1000 лева заплата,1
ексклузивно! доц. мангъров блъсна младо момче с колата. то почна да рита колата. полиция на мястото,9/1/2021 8:55,-0.054872084822360764,-0.1744613030502885,0.46587319284257056,petel.bg,1,мястото,True,16,5.25,1,"['ексклузивно', '!', 'доц', '.', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', '.', 'то', 'почна', 'да', 'рита', 'колата', '.', 'полиция', 'на', 'мястото']","['ексклузивно', 'доц', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', 'то', 'почна', 'да', 'рита', 'колата', 'полиция', 'на', 'мястото']",4,4,1,мангъров блъсна младо момче с колата то почна да рита колата полиция на мястото ексклузивно доц,1
"🚆нови 6 станции планира ""метрополитен"".
#софия #метро",13-01-21 19:29,0.21834704902939125,0.373164604617221,-0.19842429006378032,mediapool.,0,#метро,True,7,6.714285714,0,"['🚆нови', '6', 'станции', 'планира', '``', 'метрополитен', ""''"", '.', '#', 'софия', '#', 'метро']","['нови', '6', 'станции', 'планира', '', 'метрополитен', '', '', 'софия', '', 'метро']",1,3,0,"🚆 нови 6 станции планира метрополитен "". софия метро",1
"българия няма хеликоптери - линейки, които биха спасили човешки живот. има обаче премиер, който предава разходките си на живо във фейсбук от вертолет.",5/1/2021 14:49,0.4699363347845463,4.538440447785248,0.5184908152509944,mediapool.,0,вертолет.,True,23,5.565217391,0,"['българия', 'няма', 'хеликоптери', '-', 'линейки', ',', 'които', 'биха', 'спасили', 'човешки', 'живот', '.', 'има', 'обаче', 'премиер', ',', 'който', 'предава', 'разходките', 'си', 'на', 'живо', 'във', 'фейсбук', 'от', 'вертолет', '.']","['българия', 'няма', 'хеликоптери', 'линейки', 'които', 'биха', 'спасили', 'човешки', 'живот', 'има', 'обаче', 'премиер', 'който', 'предава', 'разходките', 'си', 'на', 'живо', 'във', 'фейсбук', 'от', 'вертолет']",10,5,0,който предава разходките си на живо във фейсбук от вертолет които биха спасили човешки живот има обаче премиер българия няма хеликоптери линейки,1
"червените завършиха при нулево равенство със ""стал"" (мелец) в приятелска среща.",13-01-21 17:07,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,dnevnik,0,среща.,True,11,6.272727273,0,"['червените', 'завършиха', 'при', 'нулево', 'равенство', 'със', '``', 'стал', ""''"", '(', 'мелец', ')', 'в', 'приятелска', 'среща', '.']","['червените', 'завършиха', 'при', 'нулево', 'равенство', 'със', '', 'стал', '', '', 'мелец', '', 'в', 'приятелска', 'среща']",3,3,0,червените завършиха при нулево равенство със в приятелска среща стал мелец,1
бивши президенти на радио свободна европа / радио свобода се обърнаха с открито писмо към джо байдън. те го призовават да действа бързо.,9/1/2021 18:10,-0.20058895620996184,-0.24084020094938058,-0.3891631712943167,svobodnaev,1,бързо.,True,23,4.956521739,0,"['бивши', 'президенти', 'на', 'радио', 'свободна', 'европа', '/', 'радио', 'свобода', 'се', 'обърнаха', 'с', 'открито', 'писмо', 'към', 'джо', 'байдън', '.', 'те', 'го', 'призовават', 'да', 'действа', 'бързо', '.']","['бивши', 'президенти', 'на', 'радио', 'свободна', 'европа', '', 'радио', 'свобода', 'се', 'обърнаха', 'с', 'открито', 'писмо', 'към', 'джо', 'байдън', 'те', 'го', 'призовават', 'да', 'действа', 'бързо']",7,2,0,радио свобода се обърнаха с открито писмо към джо байдън бивши президенти на радио свободна европа те го призовават да действа бързо,1
"кадър от провеждащото се в саудитска арабия рали ""дакар""",12/1/2021 23:28,-0.29963089223122197,-0.2823270121363131,-0.46808960490695245,capital.bg,0,"""дакар""",True,9,5.333333333,0,"['кадър', 'от', 'провеждащото', 'се', 'в', 'саудитска', 'арабия', 'рали', '``', 'дакар', ""''""]","['кадър', 'от', 'провеждащото', 'се', 'в', 'саудитска', 'арабия', 'рали', '', 'дакар', '']",3,2,0,кадър от провеждащото се в саудитска арабия рали дакар,1
"вечерен час от 18 ч., а не от 20 ч., както е в момента",14-01-21 18:40,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,news.bg,1,момента,True,14,2.928571429,0,"['вечерен', 'час', 'от', '18', 'ч.', ',', 'а', 'не', 'от', '20', 'ч.', ',', 'както', 'е', 'в', 'момента']","['вечерен', 'час', 'от', '18', 'ч', 'а', 'не', 'от', '20', 'ч', 'както', 'е', 'в', 'момента']",10,4,0,"вечерен час от 18 ч ., а не от 20 ч ., както е в момента",1
борисов се готви за президент. такова опростачено управление не е имало от освобождението. това каза пред фрог нюз бившият депутат от герб и експредседател на комисията по досиетата методи андреев. ето какво още обясни той за сегашната политическа обстановка в страната:,5/1/2021 21:02,1.5878579574612985,1.385442797578375,0.5645312348583653,frognews.bg,1,страната:,True,41,5.609756098,0,"['борисов', 'се', 'готви', 'за', 'президент', '.', 'такова', 'опростачено', 'управление', 'не', 'е', 'имало', 'от', 'освобождението', '.', 'това', 'каза', 'пред', 'фрог', 'нюз', 'бившият', 'депутат', 'от', 'герб', 'и', 'експредседател', 'на', 'комисията', 'по', 'досиетата', 'методи', 'андреев', '.', 'ето', 'какво', 'още', 'обясни', 'той', 'за', 'сегашната', 'политическа', 'обстановка', 'в', 'страната', ':']","['борисов', 'се', 'готви', 'за', 'президент', 'такова', 'опростачено', 'управление', 'не', 'е', 'имало', 'от', 'освобождението', 'това', 'каза', 'пред', 'фрог', 'нюз', 'бившият', 'депутат', 'от', 'герб', 'и', 'експредседател', 'на', 'комисията', 'по', 'досиетата', 'методи', 'андреев', 'ето', 'какво', 'още', 'обясни', 'той', 'за', 'сегашната', 'политическа', 'обстановка', 'в', 'страната']",18,4,0,това каза пред фрог нюз бившият депутат от герб и експредседател на комисията по досиетата методи андреев ето какво още обясни той за сегашната политическа обстановка в страната такова опростачено управление не е имало от освобождението борисов се готви за президент,1
"последни новини от болницата, веселин маринов е в тежко състояние, трудно говори",10/11/2020 16:19,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,skandalno,1,говори,True,12,5.75,0,"['последни', 'новини', 'от', 'болницата', ',', 'веселин', 'маринов', 'е', 'в', 'тежко', 'състояние', ',', 'трудно', 'говори']","['последни', 'новини', 'от', 'болницата', 'веселин', 'маринов', 'е', 'в', 'тежко', 'състояние', 'трудно', 'говори']",3,2,0,веселин маринов е в тежко състояние последни новини от болницата трудно говори,1
"мощен взрив в ковид отделение, двама загинаха",2/11/2020 14:31,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,skandalno,1,загинаха,True,7,5.571428571,0,"['мощен', 'взрив', 'в', 'ковид', 'отделение', ',', 'двама', 'загинаха']","['мощен', 'взрив', 'в', 'ковид', 'отделение', 'двама', 'загинаха']",2,1,0,мощен взрив в ковид отделение двама загинаха,1
проф. габровски потвърди: яко ще се мре от к-19 още преди чнг!,28-10-20 15:04,-0.3144302619815252,-0.2823270121363131,-0.40231757689642267,skandalno,1,чнг!,True,12,4.25,0,"['проф', '.', 'габровски', 'потвърди', ':', 'яко', 'ще', 'се', 'мре', 'от', 'к-19', 'още', 'преди', 'чнг', '!']","['проф', 'габровски', 'потвърди', 'яко', 'ще', 'се', 'мре', 'от', 'к19', 'още', 'преди', 'чнг']",5,4,1,яко ще се мре от к 19 още преди чнг габровски потвърди проф,1
"ангелов с извънредна к-19 заповед, затварят всички…",27-10-20 19:34,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,skandalno,1,всички…,False,7,6.428571429,0,"['ангелов', 'с', 'извънредна', 'к-19', 'заповед', ',', 'затварят', 'всички…']","['ангелов', 'с', 'извънредна', 'к19', 'заповед', 'затварят', 'всички']",2,2,0,ангелов с извънредна к затварят всички … 19 заповед,1
огромна трагедия! к-19 отне живота на две учителки у нас на 49 и 48 г.,26-10-20 20:11,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,skandalno,0,г.,True,15,3.733333333,2,"['огромна', 'трагедия', '!', 'к-19', 'отне', 'живота', 'на', 'две', 'учителки', 'у', 'нас', 'на', '49', 'и', '48', 'г', '.']","['огромна', 'трагедия', 'к19', 'отне', 'живота', 'на', 'две', 'учителки', 'у', 'нас', 'на', '49', 'и', '48', 'г']",7,3,1,19 отне живота на две учителки у нас на 49 и 48 г огромна трагедия к,1
домусчиев продава нова тв на „виваком“,26-10-20 19:19,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,skandalno,1,„виваком“,True,6,5.5,0,"['домусчиев', 'продава', 'нова', 'тв', 'на', '„', 'виваком', '“']","['домусчиев', 'продава', 'нова', 'тв', 'на', '', 'виваком', '']",2,0,0,домусчиев продава нова тв на „ виваком “,1
"14-годишно дете разпори с нож момиче край павел баня, защото се ядосал",25-10-20 21:55,-0.3144302619815252,-0.2823270121363131,-0.46808960490695245,skandalno,1,ядосал,True,12,4.916666667,0,"['14-годишно', 'дете', 'разпори', 'с', 'нож', 'момиче', 'край', 'павел', 'баня', ',', 'защото', 'се', 'ядосал']","['14годишно', 'дете', 'разпори', 'с', 'нож', 'момиче', 'край', 'павел', 'баня', 'защото', 'се', 'ядосал']",3,2,0,годишно дете разпори с нож момиче край павел баня защото се ядосал 14,1
снимки от уникалния дом на слави – шоуменът се шири в лукс за 5 милиона (снимки):,25-10-20 20:55,-0.31670708809695647,-0.2823270121363131,-0.44835799650379354,skandalno,1,(снимки):,True,16,4.125,0,"['снимки', 'от', 'уникалния', 'дом', 'на', 'слави', '–', 'шоуменът', 'се', 'шири', 'в', 'лукс', 'за', '5', 'милиона', '(', 'снимки', ')', ':']","['снимки', 'от', 'уникалния', 'дом', 'на', 'слави', '', 'шоуменът', 'се', 'шири', 'в', 'лукс', 'за', '5', 'милиона', '', 'снимки', '']",5,1,0,снимки от уникалния дом на слави – шоуменът се шири в лукс за 5 милиона снимки ):,1
проф. кантарджиев огласи кои 2 продукта убиват к-19 и кога болните у нас ще намалеят видео,25-10-20 19:59,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,skandalno,1,видео,True,16,4.6875,0,"['проф', '.', 'кантарджиев', 'огласи', 'кои', '2', 'продукта', 'убиват', 'к-19', 'и', 'кога', 'болните', 'у', 'нас', 'ще', 'намалеят', 'видео']","['проф', 'кантарджиев', 'огласи', 'кои', '2', 'продукта', 'убиват', 'к19', 'и', 'кога', 'болните', 'у', 'нас', 'ще', 'намалеят', 'видео']",5,2,0,19 и кога болните у нас ще намалеят видео кантарджиев огласи кои 2 продукта убиват к проф,1
мъж припадна на улица в кърджали и умря за часове от covid-19,23-10-20 20:33,-0.3144302619815252,-0.2823270121363131,-0.4088947796974756,skandalno,1,covid-19,True,12,4.166666667,0,"['мъж', 'припадна', 'на', 'улица', 'в', 'кърджали', 'и', 'умря', 'за', 'часове', 'от', 'covid-19']","['мъж', 'припадна', 'на', 'улица', 'в', 'кърджали', 'и', 'умря', 'за', 'часове', 'от', 'covid19']",5,1,0,мъж припадна на улица в кърджали и умря за часове от covid 19,1
"пандемията атакува: 45 новозаразени медици, 40-годишни мъж и жена без придружаващи заболявания са сред 29-те нови жертви -",22-10-20 9:59,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,skandalno,1,-,False,18,5.833333333,0,"['пандемията', 'атакува', ':', '45', 'новозаразени', 'медици', ',', '40-годишни', 'мъж', 'и', 'жена', 'без', 'придружаващи', 'заболявания', 'са', 'сред', '29-те', 'нови', 'жертви', '-']","['пандемията', 'атакува', '45', 'новозаразени', 'медици', '40годишни', 'мъж', 'и', 'жена', 'без', 'придружаващи', 'заболявания', 'са', 'сред', '29те', 'нови', 'жертви']",5,5,0,годишни мъж и жена без придружаващи заболявания са сред 29 те нови жертви 45 новозаразени медици пандемията атакува 40,1
"29-годишен мъж сгащи 14-годишно момиче на спирката в търновско село, свали си гащите и я принуди",21-10-20 20:55,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,skandalno,1,принуди,True,16,5.0625,0,"['29-годишен', 'мъж', 'сгащи', '14-годишно', 'момиче', 'на', 'спирката', 'в', 'търновско', 'село', ',', 'свали', 'си', 'гащите', 'и', 'я', 'принуди']","['29годишен', 'мъж', 'сгащи', '14годишно', 'момиче', 'на', 'спирката', 'в', 'търновско', 'село', 'свали', 'си', 'гащите', 'и', 'я', 'принуди']",5,3,0,годишно момиче на спирката в търновско село свали си гащите и я принуди годишен мъж сгащи 14 29,1
"орхан мурад плаче от радост: видях жена си, млада и красива е",21-10-20 20:03,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,skandalno,1,е,False,12,4.166666667,0,"['орхан', 'мурад', 'плаче', 'от', 'радост', ':', 'видях', 'жена', 'си', ',', 'млада', 'и', 'красива', 'е']","['орхан', 'мурад', 'плаче', 'от', 'радост', 'видях', 'жена', 'си', 'млада', 'и', 'красива', 'е']",4,2,0,орхан мурад плаче от радост млада и красива е видях жена си,1
"смразяващи разкрития за младия прочут влогър, който се присмиваше на к-19, а умря от него! -",20-10-20 22:47,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,skandalno,1,-,False,16,4.8125,0,"['смразяващи', 'разкрития', 'за', 'младия', 'прочут', 'влогър', ',', 'който', 'се', 'присмиваше', 'на', 'к-19', ',', 'а', 'умря', 'от', 'него', '!', '-']","['смразяващи', 'разкрития', 'за', 'младия', 'прочут', 'влогър', 'който', 'се', 'присмиваше', 'на', 'к19', 'а', 'умря', 'от', 'него']",7,5,1,смразяващи разкрития за младия прочут влогър който се присмиваше на к а умря от него 19,1
