post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Cluster
"земетресение с магнитуд 4,4 по рихтер разлюля гърция малко след полунощ",13-01-21 1:43,198,32,9,petel.bg,0,полунощ,True,11,5.545454545,0,"['земетресение', 'с', 'магнитуд', '4,4', 'по', 'рихтер', 'разлюля', 'гърция', 'малко', 'след', 'полунощ']","['земетресение', 'с', 'магнитуд', '44', 'по', 'рихтер', 'разлюля', 'гърция', 'малко', 'след', 'полунощ']",4,1,0,1
"лекар от пловдив осъди жена си. писала му съобщения: некадърник, срам за болницата. остави да умре",12/1/2021 21:30,108,12,21,petel.bg,1,умре,True,16,5.1875,0,"['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', '.', 'писала', 'му', 'съобщения', ':', 'некадърник', ',', 'срам', 'за', 'болницата', '.', 'остави', 'да', 'умре']","['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', 'писала', 'му', 'съобщения', 'некадърник', 'срам', 'за', 'болницата', 'остави', 'да', 'умре']",5,4,0,1
камикадзе във варна! младеж се хвърли под ударните вълни блъскащи с тонове сила вълнолома,12/1/2021 20:30,270,60,107,petel.bg,0,вълнолома,True,14,5.428571429,0,"['камикадзе', 'във', 'варна', '!', 'младеж', 'се', 'хвърли', 'под', 'ударните', 'вълни', 'блъскащи', 'с', 'тонове', 'сила', 'вълнолома']","['камикадзе', 'във', 'варна', 'младеж', 'се', 'хвърли', 'под', 'ударните', 'вълни', 'блъскащи', 'с', 'тонове', 'сила', 'вълнолома']",4,1,1,1
драма на хижа ком. майка с 4 малки деца е в капан и няма измъкване,12/1/2021 17:30,219,16,172,petel.bg,1,измъкване,True,15,3.466666667,1,"['драма', 'на', 'хижа', 'ком', '.', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']","['драма', 'на', 'хижа', 'ком', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']",6,1,0,1
"от последните минути! решиха за учениците от 5 до 12 клас. връщат се в клас, но само за",12/1/2021 12:56,145,30,71,petel.bg,1,за,False,18,3.888888889,0,"['от', 'последните', 'минути', '!', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', '.', 'връщат', 'се', 'в', 'клас', ',', 'но', 'само', 'за']","['от', 'последните', 'минути', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', 'връщат', 'се', 'в', 'клас', 'но', 'само', 'за']",9,3,1,1
герб и радев заедно,12/1/2021 10:12,94,3,56,petel.bg,1,заедно,True,4,4.0,0,"['герб', 'и', 'радев', 'заедно']","['герб', 'и', 'радев', 'заедно']",2,0,0,1
"бедствено положение в перник, дворове и къщи са наводнени с водата от мръсните канали",12/1/2021 9:06,129,13,51,petel.bg,0,канали,True,14,5.142857143,0,"['бедствено', 'положение', 'в', 'перник', ',', 'дворове', 'и', 'къщи', 'са', 'наводнени', 'с', 'водата', 'от', 'мръсните', 'канали']","['бедствено', 'положение', 'в', 'перник', 'дворове', 'и', 'къщи', 'са', 'наводнени', 'с', 'водата', 'от', 'мръсните', 'канали']",5,1,0,1
извънредно! българия не помни такъв кошмар! на рожден ден мъж заключи 2 момичета и 2 дни ги,11/1/2021 20:42,203,28,145,petel.bg,1,ги,False,17,4.411764706,2,"['извънредно', '!', 'българия', 'не', 'помни', 'такъв', 'кошмар', '!', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']","['извънредно', 'българия', 'не', 'помни', 'такъв', 'кошмар', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']",7,2,2,1
от последните минути! мъж се обеси в ареста в пловдив,11/1/2021 16:57,135,13,34,petel.bg,1,пловдив,True,10,4.4,0,"['от', 'последните', 'минути', '!', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']","['от', 'последните', 'минути', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']",4,1,1,1
братът на жената на сашо кадиев загуби битката с коронавируса,11/1/2021 16:08,248,5,94,petel.bg,0,коронавируса,True,10,5.2,0,"['братът', 'на', 'жената', 'на', 'сашо', 'кадиев', 'загуби', 'битката', 'с', 'коронавируса']","['братът', 'на', 'жената', 'на', 'сашо', 'кадиев', 'загуби', 'битката', 'с', 'коронавируса']",3,0,0,1
радан кънев съобщи внезапна скръбна вест във фейсбук. починала е д-р минкова,11/1/2021 14:29,167,3,114,petel.bg,0,минкова,True,12,5.416666667,1,"['радан', 'кънев', 'съобщи', 'внезапна', 'скръбна', 'вест', 'във', 'фейсбук', '.', 'починала', 'е', 'д-р', 'минкова']","['радан', 'кънев', 'съобщи', 'внезапна', 'скръбна', 'вест', 'във', 'фейсбук', 'починала', 'е', 'др', 'минкова']",2,2,0,1
кадри от мястото! искър излезе от коритото. влачи,11/1/2021 13:40,208,42,28,petel.bg,0,влачи,False,8,5.25,0,"['кадри', 'от', 'мястото', '!', 'искър', 'излезе', 'от', 'коритото', '.', 'влачи']","['кадри', 'от', 'мястото', 'искър', 'излезе', 'от', 'коритото', 'влачи']",2,2,1,1
5g мрежa в цялата страна до края на годината,11/1/2021 0:35,124,44,78,petel.bg,0,годината,True,9,4.0,0,"['5g', 'мрежa', 'в', 'цялата', 'страна', 'до', 'края', 'на', 'годината']","['5g', 'мрежa', 'в', 'цялата', 'страна', 'до', 'края', 'на', 'годината']",3,0,0,1
нова промяна за всички шофьори. до месеци слагат нови стикери на колите ни,10/1/2021 22:54,138,55,95,petel.bg,1,ни,True,13,4.769230769,0,"['нова', 'промяна', 'за', 'всички', 'шофьори', '.', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']","['нова', 'промяна', 'за', 'всички', 'шофьори', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']",7,1,0,1
другата седмица решават дали да има ново удължаване на мерките,10/1/2021 11:21,121,9,125,petel.bg,0,мерките,True,10,5.3,0,"['другата', 'седмица', 'решават', 'дали', 'да', 'има', 'ново', 'удължаване', 'на', 'мерките']","['другата', 'седмица', 'решават', 'дали', 'да', 'има', 'ново', 'удължаване', 'на', 'мерките']",4,0,0,1
вече има обвиняем за смъртта на 8-годишното дете в мездра,10/1/2021 3:22,261,25,10,petel.bg,0,мездра,True,10,4.8,0,"['вече', 'има', 'обвиняем', 'за', 'смъртта', 'на', '8-годишното', 'дете', 'в', 'мездра']","['вече', 'има', 'обвиняем', 'за', 'смъртта', 'на', '8годишното', 'дете', 'в', 'мездра']",5,1,0,1
"илияна йотова направи самокритика на президентската институция за думите на радев, че борисов е ""доверено лице на ердоган""",10/1/2021 2:43,90,3,48,petel.bg,0,"ердоган""",True,18,5.833333333,0,"['илияна', 'йотова', 'направи', 'самокритика', 'на', 'президентската', 'институция', 'за', 'думите', 'на', 'радев', ',', 'че', 'борисов', 'е', '``', 'доверено', 'лице', 'на', 'ердоган', ""''""]","['илияна', 'йотова', 'направи', 'самокритика', 'на', 'президентската', 'институция', 'за', 'думите', 'на', 'радев', 'че', 'борисов', 'е', '', 'доверено', 'лице', 'на', 'ердоган', '']",7,3,0,1
ексклузивно! доц. мангъров блъсна младо момче с колата. то почна да рита колата. полиция на мястото,9/1/2021 8:55,230,13,142,petel.bg,1,мястото,True,16,5.25,1,"['ексклузивно', '!', 'доц', '.', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', '.', 'то', 'почна', 'да', 'рита', 'колата', '.', 'полиция', 'на', 'мястото']","['ексклузивно', 'доц', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', 'то', 'почна', 'да', 'рита', 'колата', 'полиция', 'на', 'мястото']",4,4,1,1
от пътната агенция - в следващите дни на път само с подготвен за зимата автомобил,9/1/2021 8:03,219,13,15,petel.bg,0,автомобил,True,15,4.466666667,0,"['от', 'пътната', 'агенция', '-', 'в', 'следващите', 'дни', 'на', 'път', 'само', 'с', 'подготвен', 'за', 'зимата', 'автомобил']","['от', 'пътната', 'агенция', 'в', 'следващите', 'дни', 'на', 'път', 'само', 'с', 'подготвен', 'за', 'зимата', 'автомобил']",7,1,0,1
"огромното количество отпадъци, които придошлата река искър струпа при вец-а край своге, станаха поредният повод природозащитници да попитат как министерството на околната среда и водите си върши работата. снимки: деннис тодоров/грийнпийс. подробности тук: https://bit.ly/35fkaht",14-01-21 18:58,111,0,24,mediapool.,0,https://bit.ly/35fkaht,True,34,7.205882353,0,"['огромното', 'количество', 'отпадъци', ',', 'които', 'придошлата', 'река', 'искър', 'струпа', 'при', 'вец-а', 'край', 'своге', ',', 'станаха', 'поредният', 'повод', 'природозащитници', 'да', 'попитат', 'как', 'министерството', 'на', 'околната', 'среда', 'и', 'водите', 'си', 'върши', 'работата', '.', 'снимки', ':', 'деннис', 'тодоров/грийнпийс', '.', 'подробности', 'тук', ':', 'https', ':', '//bit.ly/35fkaht']","['огромното', 'количество', 'отпадъци', 'които', 'придошлата', 'река', 'искър', 'струпа', 'при', 'веца', 'край', 'своге', 'станаха', 'поредният', 'повод', 'природозащитници', 'да', 'попитат', 'как', 'министерството', 'на', 'околната', 'среда', 'и', 'водите', 'си', 'върши', 'работата', 'снимки', 'деннис', 'тодоровгрийнпийс', 'подробности', 'тук', 'https', 'bitly35fkaht']",8,9,0,1
"медицинската сестра нася ненова окончателно осъди деветимата либийци, която са уличени за нейното изтезание, да ѝ платят 500 000 лева обезщетение. това следва от определение на върховния касационен съд срещу бившите служители на главното следствено управление на либия.",14-01-21 14:11,235,7,12,mediapool.,0,либия.,True,38,6.105263158,0,"['медицинската', 'сестра', 'нася', 'ненова', 'окончателно', 'осъди', 'деветимата', 'либийци', ',', 'която', 'са', 'уличени', 'за', 'нейното', 'изтезание', ',', 'да', 'ѝ', 'платят', '500', '000', 'лева', 'обезщетение', '.', 'това', 'следва', 'от', 'определение', 'на', 'върховния', 'касационен', 'съд', 'срещу', 'бившите', 'служители', 'на', 'главното', 'следствено', 'управление', 'на', 'либия', '.']","['медицинската', 'сестра', 'нася', 'ненова', 'окончателно', 'осъди', 'деветимата', 'либийци', 'която', 'са', 'уличени', 'за', 'нейното', 'изтезание', 'да', 'ѝ', 'платят', '500', '000', 'лева', 'обезщетение', 'това', 'следва', 'от', 'определение', 'на', 'върховния', 'касационен', 'съд', 'срещу', 'бившите', 'служители', 'на', 'главното', 'следствено', 'управление', 'на', 'либия']",10,4,0,1
��целта на процедурата е да се забрани на действащия държавен глава да може да се кандидатира за висши постове през следващата година. #тръмп #сащ,14-01-21 8:30,92,7,25,mediapool.,0,#сащ,True,24,5.083333333,0,"['🎯целта', 'на', 'процедурата', 'е', 'да', 'се', 'забрани', 'на', 'действащия', 'държавен', 'глава', 'да', 'може', 'да', 'се', 'кандидатира', 'за', 'висши', 'постове', 'през', 'следващата', 'година', '.', '#', 'тръмп', '#', 'сащ']","['целта', 'на', 'процедурата', 'е', 'да', 'се', 'забрани', 'на', 'действащия', 'държавен', 'глава', 'да', 'може', 'да', 'се', 'кандидатира', 'за', 'висши', 'постове', 'през', 'следващата', 'година', '', 'тръмп', '', 'сащ']",12,1,0,1
"""големият въпрос е, че има риск за политическото представителство, което ще се излъчи от изборите. предизборната кампания ще бъде много затруднена, особено за по-малките партии. те са изолирани от медиите. там са управляващите и от време на време бсп. епидемията силно ограничава възможностите на по-малките формации"".",13-01-21 20:46,111,6,48,mediapool.,0,"формации"".",True,46,5.934782609,0,"['``', 'големият', 'въпрос', 'е', ',', 'че', 'има', 'риск', 'за', 'политическото', 'представителство', ',', 'което', 'ще', 'се', 'излъчи', 'от', 'изборите', '.', 'предизборната', 'кампания', 'ще', 'бъде', 'много', 'затруднена', ',', 'особено', 'за', 'по-малките', 'партии', '.', 'те', 'са', 'изолирани', 'от', 'медиите', '.', 'там', 'са', 'управляващите', 'и', 'от', 'време', 'на', 'време', 'бсп', '.', 'епидемията', 'силно', 'ограничава', 'възможностите', 'на', 'по-малките', 'формации', ""''"", '.']","['', 'големият', 'въпрос', 'е', 'че', 'има', 'риск', 'за', 'политическото', 'представителство', 'което', 'ще', 'се', 'излъчи', 'от', 'изборите', 'предизборната', 'кампания', 'ще', 'бъде', 'много', 'затруднена', 'особено', 'за', 'помалките', 'партии', 'те', 'са', 'изолирани', 'от', 'медиите', 'там', 'са', 'управляващите', 'и', 'от', 'време', 'на', 'време', 'бсп', 'епидемията', 'силно', 'ограничава', 'възможностите', 'на', 'помалките', 'формации', '']",24,12,0,1
"избрана е на тази длъжност от правителството на република корея, уточняват от пресслужбата на министерския съвет. вижте повече: http://bit.ly/2kcdebp
#българия #общество",13-01-21 18:44,139,88,71,mediapool.,0,#общество,True,21,7.095238095,1,"['избрана', 'е', 'на', 'тази', 'длъжност', 'от', 'правителството', 'на', 'република', 'корея', ',', 'уточняват', 'от', 'пресслужбата', 'на', 'министерския', 'съвет', '.', 'вижте', 'повече', ':', 'http', ':', '//bit.ly/2kcdebp', '#', 'българия', '#', 'общество']","['избрана', 'е', 'на', 'тази', 'длъжност', 'от', 'правителството', 'на', 'република', 'корея', 'уточняват', 'от', 'пресслужбата', 'на', 'министерския', 'съвет', 'вижте', 'повече', 'http', 'bitly2kcdebp', '', 'българия', '', 'общество']",8,5,0,1
така камарата на представителите се насочва към гласуване на импийчмънт на действащия все още президент само седмица преди встъпването в длъжност на джо байдън.,13-01-21 17:32,202,8,11,mediapool.,0,байдън.,True,24,5.708333333,0,"['така', 'камарата', 'на', 'представителите', 'се', 'насочва', 'към', 'гласуване', 'на', 'импийчмънт', 'на', 'действащия', 'все', 'още', 'президент', 'само', 'седмица', 'преди', 'встъпването', 'в', 'длъжност', 'на', 'джо', 'байдън', '.']","['така', 'камарата', 'на', 'представителите', 'се', 'насочва', 'към', 'гласуване', 'на', 'импийчмънт', 'на', 'действащия', 'все', 'още', 'президент', 'само', 'седмица', 'преди', 'встъпването', 'в', 'длъжност', 'на', 'джо', 'байдън']",12,1,0,1
"""напуснахме групата на бсп именно, за да останем социалисти. получавахме подкрепа от все повече хора, желаещи промяна. затова създадохме новият ляв политически проект"", заяви красимир янков, който доскоро бе депутат от бсп.",13-01-21 12:22,113,8,89,mediapool.,0,бсп.,True,32,6.0,0,"['``', 'напуснахме', 'групата', 'на', 'бсп', 'именно', ',', 'за', 'да', 'останем', 'социалисти', '.', 'получавахме', 'подкрепа', 'от', 'все', 'повече', 'хора', ',', 'желаещи', 'промяна', '.', 'затова', 'създадохме', 'новият', 'ляв', 'политически', 'проект', ""''"", ',', 'заяви', 'красимир', 'янков', ',', 'който', 'доскоро', 'бе', 'депутат', 'от', 'бсп', '.']","['', 'напуснахме', 'групата', 'на', 'бсп', 'именно', 'за', 'да', 'останем', 'социалисти', 'получавахме', 'подкрепа', 'от', 'все', 'повече', 'хора', 'желаещи', 'промяна', 'затова', 'създадохме', 'новият', 'ляв', 'политически', 'проект', '', 'заяви', 'красимир', 'янков', 'който', 'доскоро', 'бе', 'депутат', 'от', 'бсп']",10,9,0,1
"според каракачанов скопие веднага може да започне преговори с ес, ако подпише един документ.
#northmacedonia",11/1/2021 13:36,99,4,24,mediapool.,0,#northmacedonia,True,15,6.266666667,0,"['според', 'каракачанов', 'скопие', 'веднага', 'може', 'да', 'започне', 'преговори', 'с', 'ес', ',', 'ако', 'подпише', 'един', 'документ', '.', '#', 'northmacedonia']","['според', 'каракачанов', 'скопие', 'веднага', 'може', 'да', 'започне', 'преговори', 'с', 'ес', 'ако', 'подпише', 'един', 'документ', '', 'northmacedonia']",6,2,0,1
"камарата на представителите в сащ ще пристъпи тази седмица към процедура по импийчмънт на президента републиканец доналд тръмп, обяви председателката на доминираната от демократите долна камара на конгреса нанси пелоси.",11/1/2021 11:42,195,26,74,mediapool.,0,пелоси.,True,30,6.333333333,0,"['камарата', 'на', 'представителите', 'в', 'сащ', 'ще', 'пристъпи', 'тази', 'седмица', 'към', 'процедура', 'по', 'импийчмънт', 'на', 'президента', 'републиканец', 'доналд', 'тръмп', ',', 'обяви', 'председателката', 'на', 'доминираната', 'от', 'демократите', 'долна', 'камара', 'на', 'конгреса', 'нанси', 'пелоси', '.']","['камарата', 'на', 'представителите', 'в', 'сащ', 'ще', 'пристъпи', 'тази', 'седмица', 'към', 'процедура', 'по', 'импийчмънт', 'на', 'президента', 'републиканец', 'доналд', 'тръмп', 'обяви', 'председателката', 'на', 'доминираната', 'от', 'демократите', 'долна', 'камара', 'на', 'конгреса', 'нанси', 'пелоси']",10,2,0,1
"ако някой види полицай да бие арестуван гражданин, би било логично да се усъмни дали това не е полицейско насилие. не и ако този някой е министърът на вътрешните работи.",11/1/2021 10:11,355,91,27,mediapool.,0,работи.,True,30,4.666666667,0,"['ако', 'някой', 'види', 'полицай', 'да', 'бие', 'арестуван', 'гражданин', ',', 'би', 'било', 'логично', 'да', 'се', 'усъмни', 'дали', 'това', 'не', 'е', 'полицейско', 'насилие', '.', 'не', 'и', 'ако', 'този', 'някой', 'е', 'министърът', 'на', 'вътрешните', 'работи', '.']","['ако', 'някой', 'види', 'полицай', 'да', 'бие', 'арестуван', 'гражданин', 'би', 'било', 'логично', 'да', 'се', 'усъмни', 'дали', 'това', 'не', 'е', 'полицейско', 'насилие', 'не', 'и', 'ако', 'този', 'някой', 'е', 'министърът', 'на', 'вътрешните', 'работи']",18,3,0,1
"""ужасните сцени във вашингтон, на които станахме свидетели, бяха насилствен опит да се подкопае нашия демократичен процес. това беше погрешно и не показва това, което сме.""
#herromustafa #usembassysofia",8/1/2021 17:38,101,3,50,mediapool.,0,#usembassysofia,True,28,6.25,0,"['``', 'ужасните', 'сцени', 'във', 'вашингтон', ',', 'на', 'които', 'станахме', 'свидетели', ',', 'бяха', 'насилствен', 'опит', 'да', 'се', 'подкопае', 'нашия', 'демократичен', 'процес', '.', 'това', 'беше', 'погрешно', 'и', 'не', 'показва', 'това', ',', 'което', 'сме', '.', ""''"", '#', 'herromustafa', '#', 'usembassysofia']","['', 'ужасните', 'сцени', 'във', 'вашингтон', 'на', 'които', 'станахме', 'свидетели', 'бяха', 'насилствен', 'опит', 'да', 'се', 'подкопае', 'нашия', 'демократичен', 'процес', 'това', 'беше', 'погрешно', 'и', 'не', 'показва', 'това', 'което', 'сме', '', '', 'herromustafa', '', 'usembassysofia']",13,7,0,1
"според върховния съд няма нужда от документи са собственост върху сградата, за да се блокира събарянето.",8/1/2021 14:45,231,169,64,mediapool.,0,събарянето.,True,16,5.5625,0,"['според', 'върховния', 'съд', 'няма', 'нужда', 'от', 'документи', 'са', 'собственост', 'върху', 'сградата', ',', 'за', 'да', 'се', 'блокира', 'събарянето', '.']","['според', 'върховния', 'съд', 'няма', 'нужда', 'от', 'документи', 'са', 'собственост', 'върху', 'сградата', 'за', 'да', 'се', 'блокира', 'събарянето']",8,2,0,1
"от какво зависи продължителността на имунитета❓
има ли основание да се притесняваме от неясните дългосрочни ефекти от ваксините❓
взаимодействат ли си ваксините с лекарствата, които приемаме и какво може да намали тяхната ефективност❓
опасно ли е да се ваксинираме ако сме безсимптомен носител на вируса и не знаем, че сме заразени❓
👉отговорите на тези и други въпроси за ваксините и имунитета дава д-р цветелина великова, имунолог в интервю за mediapool.bg",8/1/2021 12:22,109,19,20,mediapool.,0,mediapool.bg,True,70,5.528571429,0,"['от', 'какво', 'зависи', 'продължителността', 'на', 'имунитета❓', 'има', 'ли', 'основание', 'да', 'се', 'притесняваме', 'от', 'неясните', 'дългосрочни', 'ефекти', 'от', 'ваксините❓', 'взаимодействат', 'ли', 'си', 'ваксините', 'с', 'лекарствата', ',', 'които', 'приемаме', 'и', 'какво', 'може', 'да', 'намали', 'тяхната', 'ефективност❓', 'опасно', 'ли', 'е', 'да', 'се', 'ваксинираме', 'ако', 'сме', 'безсимптомен', 'носител', 'на', 'вируса', 'и', 'не', 'знаем', ',', 'че', 'сме', 'заразени❓', '👉отговорите', 'на', 'тези', 'и', 'други', 'въпроси', 'за', 'ваксините', 'и', 'имунитета', 'дава', 'д-р', 'цветелина', 'великова', ',', 'имунолог', 'в', 'интервю', 'за', 'mediapool.bg']","['от', 'какво', 'зависи', 'продължителността', 'на', 'имунитета', 'има', 'ли', 'основание', 'да', 'се', 'притесняваме', 'от', 'неясните', 'дългосрочни', 'ефекти', 'от', 'ваксините', 'взаимодействат', 'ли', 'си', 'ваксините', 'с', 'лекарствата', 'които', 'приемаме', 'и', 'какво', 'може', 'да', 'намали', 'тяхната', 'ефективност', 'опасно', 'ли', 'е', 'да', 'се', 'ваксинираме', 'ако', 'сме', 'безсимптомен', 'носител', 'на', 'вируса', 'и', 'не', 'знаем', 'че', 'сме', 'заразени', 'отговорите', 'на', 'тези', 'и', 'други', 'въпроси', 'за', 'ваксините', 'и', 'имунитета', 'дава', 'др', 'цветелина', 'великова', 'имунолог', 'в', 'интервю', 'за', 'mediapoolbg']",36,5,0,1
"🎥признанието идва след проведена анкета от организаторите на фестивала animac в испания сред водещи историци, куратори и критици по случай четвърт вековния юбилей на проявата. #анимация #ушев",8/1/2021 9:35,391,20,5,mediapool.,0,#ушев,True,27,6.111111111,0,"['🎥признанието', 'идва', 'след', 'проведена', 'анкета', 'от', 'организаторите', 'на', 'фестивала', 'animac', 'в', 'испания', 'сред', 'водещи', 'историци', ',', 'куратори', 'и', 'критици', 'по', 'случай', 'четвърт', 'вековния', 'юбилей', 'на', 'проявата', '.', '#', 'анимация', '#', 'ушев']","['признанието', 'идва', 'след', 'проведена', 'анкета', 'от', 'организаторите', 'на', 'фестивала', 'animac', 'в', 'испания', 'сред', 'водещи', 'историци', 'куратори', 'и', 'критици', 'по', 'случай', 'четвърт', 'вековния', 'юбилей', 'на', 'проявата', '', 'анимация', '', 'ушев']",8,2,0,1
"проверочни изпити при здравословни и психични проблеми на шофьори, но без медицинско при подновяване на книжката. категоризация на школите и уроци по безопасност на движението от детската градина, предвижда приета от правителството концепция.",6/1/2021 20:03,242,98,10,mediapool.,0,концепция.,True,33,6.363636364,0,"['проверочни', 'изпити', 'при', 'здравословни', 'и', 'психични', 'проблеми', 'на', 'шофьори', ',', 'но', 'без', 'медицинско', 'при', 'подновяване', 'на', 'книжката', '.', 'категоризация', 'на', 'школите', 'и', 'уроци', 'по', 'безопасност', 'на', 'движението', 'от', 'детската', 'градина', ',', 'предвижда', 'приета', 'от', 'правителството', 'концепция', '.']","['проверочни', 'изпити', 'при', 'здравословни', 'и', 'психични', 'проблеми', 'на', 'шофьори', 'но', 'без', 'медицинско', 'при', 'подновяване', 'на', 'книжката', 'категоризация', 'на', 'школите', 'и', 'уроци', 'по', 'безопасност', 'на', 'движението', 'от', 'детската', 'градина', 'предвижда', 'приета', 'от', 'правителството', 'концепция']",13,4,0,1
