post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Topic,Predicted_Label
сащ вдигат минималната заплата на 15 долара на час,13-01-21 22:30,137,10,55,petel.bg,0,час,True,9,4.666666667,0,"['сащ', 'вдигат', 'минималната', 'заплата', 'на', '15', 'долара', 'на', 'час']","['сащ', 'вдигат', 'минималната', 'заплата', 'на', '15', 'долара', 'на', 'час']",2,0,0,1,0
модерна или пфайзер? проф. аргирова посочи коя е по-добрата ваксина,13-01-21 21:30,28,0,41,petel.bg,1,ваксина,True,10,5.8,0,"['модерна', 'или', 'пфайзер', '?', 'проф', '.', 'аргирова', 'посочи', 'коя', 'е', 'по-добрата', 'ваксина']","['модерна', 'или', 'пфайзер', 'проф', 'аргирова', 'посочи', 'коя', 'е', 'подобрата', 'ваксина']",2,3,0,1,0
борисов назначи жената на своя приятел александър сталийски за почетен консул на корея в пловдив,13-01-21 20:30,128,46,125,petel.bg,1,пловдив,True,15,5.466666667,0,"['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']","['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']",4,0,0,0,0
ново напрежение! гръцки спецчасти взеха на абордаж руски кораб! русия обяви,13-01-21 19:30,96,7,77,petel.bg,1,обяви,False,11,5.909090909,1,"['ново', 'напрежение', '!', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', '!', 'русия', 'обяви']","['ново', 'напрежение', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', 'русия', 'обяви']",1,2,2,1,0
борисов вдигна заплатата на шефката на нап. досега как се оправяше с 5500 лева плюс бонусите тя си знае,13-01-21 18:30,166,103,351,petel.bg,1,знае,True,19,4.473684211,0,"['борисов', 'вдигна', 'заплатата', 'на', 'шефката', 'на', 'нап', '.', 'досега', 'как', 'се', 'оправяше', 'с', '5500', 'лева', 'плюс', 'бонусите', 'тя', 'си', 'знае']","['борисов', 'вдигна', 'заплатата', 'на', 'шефката', 'на', 'нап', 'досега', 'как', 'се', 'оправяше', 'с', '5500', 'лева', 'плюс', 'бонусите', 'тя', 'си', 'знае']",8,1,0,0,0
с бурни аплодисменти посрещнаха борисов на мястото на бедствието. той гушна момченце и го пита: ти видя ли новата,13-01-21 17:30,377,24,357,petel.bg,0,новата,False,19,5.0,0,"['с', 'бурни', 'аплодисменти', 'посрещнаха', 'борисов', 'на', 'мястото', 'на', 'бедствието', '.', 'той', 'гушна', 'момченце', 'и', 'го', 'пита', ':', 'ти', 'видя', 'ли', 'новата']","['с', 'бурни', 'аплодисменти', 'посрещнаха', 'борисов', 'на', 'мястото', 'на', 'бедствието', 'той', 'гушна', 'момченце', 'и', 'го', 'пита', 'ти', 'видя', 'ли', 'новата']",8,2,0,1,0
"цялата улица ""михаил колони"" във варна пропада на много места. нужна е цялостен спешен ремонт на ремонта! водата може да влезе в основите",13-01-21 16:33,67,18,43,petel.bg,0,основите,False,23,5.0,0,"['цялата', 'улица', '``', 'михаил', 'колони', ""''"", 'във', 'варна', 'пропада', 'на', 'много', 'места', '.', 'нужна', 'е', 'цялостен', 'спешен', 'ремонт', 'на', 'ремонта', '!', 'водата', 'може', 'да', 'влезе', 'в', 'основите']","['цялата', 'улица', '', 'михаил', 'колони', '', 'във', 'варна', 'пропада', 'на', 'много', 'места', 'нужна', 'е', 'цялостен', 'спешен', 'ремонт', 'на', 'ремонта', 'водата', 'може', 'да', 'влезе', 'в', 'основите']",8,4,1,1,0
❗здравният министър обяви облекчаване на мерките от,13-01-21 15:15,98,12,108,petel.bg,1,от,False,7,6.428571429,0,"['❗здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']","['здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']",2,0,0,1,0
��нова нюз с извънредно включване! 70 души щурмуваха къщата в мездра заради убитото дете на,13-01-21 14:45,237,6,30,petel.bg,0,на,False,15,5.066666667,1,"['😮нова', 'нюз', 'с', 'извънредно', 'включване', '!', '70', 'души', 'щурмуваха', 'къщата', 'в', 'мездра', 'заради', 'убитото', 'дете', 'на']","['нова', 'нюз', 'с', 'извънредно', 'включване', '70', 'души', 'щурмуваха', 'къщата', 'в', 'мездра', 'заради', 'убитото', 'дете', 'на']",5,1,1,1,0
извънредно! напрежението расте пред нс. изсипват се хора. много полиция,13-01-21 11:53,3258,209,399,petel.bg,1,полиция,False,10,6.2,1,"['извънредно', '!', 'напрежението', 'расте', 'пред', 'нс', '.', 'изсипват', 'се', 'хора', '.', 'много', 'полиция']","['извънредно', 'напрежението', 'расте', 'пред', 'нс', 'изсипват', 'се', 'хора', 'много', 'полиция']",3,3,1,1,0
"потрес! това трябва да се спре! уникредит продаде и извърли на улицата болен човек! докато той докаже, че не дължи пари!",13-01-21 11:18,507,202,169,petel.bg,1,пари!,True,21,4.761904762,1,"['потрес', '!', 'това', 'трябва', 'да', 'се', 'спре', '!', 'уникредит', 'продаде', 'и', 'извърли', 'на', 'улицата', 'болен', 'човек', '!', 'докато', 'той', 'докаже', ',', 'че', 'не', 'дължи', 'пари', '!']","['потрес', 'това', 'трябва', 'да', 'се', 'спре', 'уникредит', 'продаде', 'и', 'извърли', 'на', 'улицата', 'болен', 'човек', 'докато', 'той', 'докаже', 'че', 'не', 'дължи', 'пари']",10,5,4,1,0
показваха потресаващи кадри от мелето с 10 коли в софия! хората вътре са,13-01-21 9:39,102,12,37,petel.bg,1,са,False,13,4.615384615,1,"['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', '!', 'хората', 'вътре', 'са']","['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', 'хората', 'вътре', 'са']",4,1,1,1,0
"веселин марешки: румен радев ще го изгонят с камъни, както оня варненски кмет",13-01-21 8:33,308,11,425,petel.bg,0,кмет,True,13,5.0,0,"['веселин', 'марешки', ':', 'румен', 'радев', 'ще', 'го', 'изгонят', 'с', 'камъни', ',', 'както', 'оня', 'варненски', 'кмет']","['веселин', 'марешки', 'румен', 'радев', 'ще', 'го', 'изгонят', 'с', 'камъни', 'както', 'оня', 'варненски', 'кмет']",4,2,0,0,0
смущаващо разкритие: скритата смъртност на 1000 души в пловдив. умрели са от,13-01-21 7:25,83,28,20,petel.bg,1,от,False,12,5.416666667,0,"['смущаващо', 'разкритие', ':', 'скритата', 'смъртност', 'на', '1000', 'души', 'в', 'пловдив', '.', 'умрели', 'са', 'от']","['смущаващо', 'разкритие', 'скритата', 'смъртност', 'на', '1000', 'души', 'в', 'пловдив', 'умрели', 'са', 'от']",4,2,0,0,0
националната информационна система: 750 новозаразени и 47 починали за последния ден,13-01-21 3:13,31,0,13,petel.bg,0,ден,True,11,6.636363636,0,"['националната', 'информационна', 'система', ':', '750', 'новозаразени', 'и', '47', 'починали', 'за', 'последния', 'ден']","['националната', 'информационна', 'система', '750', 'новозаразени', 'и', '47', 'починали', 'за', 'последния', 'ден']",3,1,0,1,0
"земетресение с магнитуд 4,4 по рихтер разлюля гърция малко след полунощ",13-01-21 1:43,198,32,9,petel.bg,0,полунощ,True,11,5.545454545,0,"['земетресение', 'с', 'магнитуд', '4,4', 'по', 'рихтер', 'разлюля', 'гърция', 'малко', 'след', 'полунощ']","['земетресение', 'с', 'магнитуд', '44', 'по', 'рихтер', 'разлюля', 'гърция', 'малко', 'след', 'полунощ']",4,1,0,1,0
има план българия да приеме еврото,12/1/2021 23:03,205,16,251,petel.bg,0,еврото,True,6,4.833333333,0,"['има', 'план', 'българия', 'да', 'приеме', 'еврото']","['има', 'план', 'българия', 'да', 'приеме', 'еврото']",2,0,0,1,0
"лекар от пловдив осъди жена си. писала му съобщения: некадърник, срам за болницата. остави да умре",12/1/2021 21:30,108,12,21,petel.bg,1,умре,True,16,5.1875,0,"['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', '.', 'писала', 'му', 'съобщения', ':', 'некадърник', ',', 'срам', 'за', 'болницата', '.', 'остави', 'да', 'умре']","['лекар', 'от', 'пловдив', 'осъди', 'жена', 'си', 'писала', 'му', 'съобщения', 'некадърник', 'срам', 'за', 'болницата', 'остави', 'да', 'умре']",5,4,0,0,0
камикадзе във варна! младеж се хвърли под ударните вълни блъскащи с тонове сила вълнолома,12/1/2021 20:30,270,60,107,petel.bg,0,вълнолома,True,14,5.428571429,0,"['камикадзе', 'във', 'варна', '!', 'младеж', 'се', 'хвърли', 'под', 'ударните', 'вълни', 'блъскащи', 'с', 'тонове', 'сила', 'вълнолома']","['камикадзе', 'във', 'варна', 'младеж', 'се', 'хвърли', 'под', 'ударните', 'вълни', 'блъскащи', 'с', 'тонове', 'сила', 'вълнолома']",4,1,1,1,0
"цветанов хвърли ""бомба"": имаше подмяна на вота, докато бях в герб",12/1/2021 19:30,1359,166,479,petel.bg,1,герб,True,11,5.0,1,"['цветанов', 'хвърли', '``', 'бомба', ""''"", ':', 'имаше', 'подмяна', 'на', 'вота', ',', 'докато', 'бях', 'в', 'герб']","['цветанов', 'хвърли', '', 'бомба', '', 'имаше', 'подмяна', 'на', 'вота', 'докато', 'бях', 'в', 'герб']",3,4,0,1,0
драма на хижа ком. майка с 4 малки деца е в капан и няма измъкване,12/1/2021 17:30,219,16,172,petel.bg,1,измъкване,True,15,3.466666667,1,"['драма', 'на', 'хижа', 'ком', '.', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']","['драма', 'на', 'хижа', 'ком', 'майка', 'с', '4', 'малки', 'деца', 'е', 'в', 'капан', 'и', 'няма', 'измъкване']",6,1,0,0,0
марешки нападна президента радев: вие бетонирахте герб на власт и изкарахте мутрите на площада. радев му отвърна,12/1/2021 14:56,647,49,600,petel.bg,0,отвърна,False,17,5.647058824,0,"['марешки', 'нападна', 'президента', 'радев', ':', 'вие', 'бетонирахте', 'герб', 'на', 'власт', 'и', 'изкарахте', 'мутрите', 'на', 'площада', '.', 'радев', 'му', 'отвърна']","['марешки', 'нападна', 'президента', 'радев', 'вие', 'бетонирахте', 'герб', 'на', 'власт', 'и', 'изкарахте', 'мутрите', 'на', 'площада', 'радев', 'му', 'отвърна']",5,2,0,1,0
"от последните минути! решиха за учениците от 5 до 12 клас. връщат се в клас, но само за",12/1/2021 12:56,145,30,71,petel.bg,1,за,False,18,3.888888889,0,"['от', 'последните', 'минути', '!', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', '.', 'връщат', 'се', 'в', 'клас', ',', 'но', 'само', 'за']","['от', 'последните', 'минути', 'решиха', 'за', 'учениците', 'от', '5', 'до', '12', 'клас', 'връщат', 'се', 'в', 'клас', 'но', 'само', 'за']",9,3,1,0,0
герб и радев заедно,12/1/2021 10:12,94,3,56,petel.bg,1,заедно,True,4,4.0,0,"['герб', 'и', 'радев', 'заедно']","['герб', 'и', 'радев', 'заедно']",2,0,0,1,0
"земна маса се свлече върху къща в смолян, петима души пострадаха",12/1/2021 9:11,71,3,6,petel.bg,0,пострадаха,True,11,4.909090909,0,"['земна', 'маса', 'се', 'свлече', 'върху', 'къща', 'в', 'смолян', ',', 'петима', 'души', 'пострадаха']","['земна', 'маса', 'се', 'свлече', 'върху', 'къща', 'в', 'смолян', 'петима', 'души', 'пострадаха']",3,1,0,1,0
"бедствено положение в перник, дворове и къщи са наводнени с водата от мръсните канали",12/1/2021 9:06,129,13,51,petel.bg,0,канали,True,14,5.142857143,0,"['бедствено', 'положение', 'в', 'перник', ',', 'дворове', 'и', 'къщи', 'са', 'наводнени', 'с', 'водата', 'от', 'мръсните', 'канали']","['бедствено', 'положение', 'в', 'перник', 'дворове', 'и', 'къщи', 'са', 'наводнени', 'с', 'водата', 'от', 'мръсните', 'канали']",5,1,0,0,0
националната информационна система: 106 починали и 620 новозаразени за последния ден,12/1/2021 2:05,54,2,18,petel.bg,0,ден,True,11,6.727272727,0,"['националната', 'информационна', 'система', ':', '106', 'починали', 'и', '620', 'новозаразени', 'за', 'последния', 'ден']","['националната', 'информационна', 'система', '106', 'починали', 'и', '620', 'новозаразени', 'за', 'последния', 'ден']",3,1,0,1,0
издирват 35-годишен за изнасилването на две жени в енина,11/1/2021 23:53,62,0,7,petel.bg,0,енина,True,9,5.333333333,0,"['издирват', '35-годишен', 'за', 'изнасилването', 'на', 'две', 'жени', 'в', 'енина']","['издирват', '35годишен', 'за', 'изнасилването', 'на', 'две', 'жени', 'в', 'енина']",4,1,0,1,0
извънредно! българия не помни такъв кошмар! на рожден ден мъж заключи 2 момичета и 2 дни ги,11/1/2021 20:42,203,28,145,petel.bg,1,ги,False,17,4.411764706,2,"['извънредно', '!', 'българия', 'не', 'помни', 'такъв', 'кошмар', '!', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']","['извънредно', 'българия', 'не', 'помни', 'такъв', 'кошмар', 'на', 'рожден', 'ден', 'мъж', 'заключи', '2', 'момичета', 'и', '2', 'дни', 'ги']",7,2,2,0,0
"борисов на мястото на стихията. спасява хората. обяви, че",11/1/2021 19:27,566,44,525,petel.bg,1,че,False,9,5.444444444,0,"['борисов', 'на', 'мястото', 'на', 'стихията', '.', 'спасява', 'хората', '.', 'обяви', ',', 'че']","['борисов', 'на', 'мястото', 'на', 'стихията', 'спасява', 'хората', 'обяви', 'че']",3,3,0,1,0
влак дерайлира край перник,11/1/2021 18:30,48,7,8,petel.bg,0,перник,True,4,5.75,0,"['влак', 'дерайлира', 'край', 'перник']","['влак', 'дерайлира', 'край', 'перник']",0,0,0,0,0
от последните минути! мъж се обеси в ареста в пловдив,11/1/2021 16:57,135,13,34,petel.bg,1,пловдив,True,10,4.4,0,"['от', 'последните', 'минути', '!', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']","['от', 'последните', 'минути', 'мъж', 'се', 'обеси', 'в', 'ареста', 'в', 'пловдив']",4,1,1,1,0
братът на жената на сашо кадиев загуби битката с коронавируса,11/1/2021 16:08,248,5,94,petel.bg,0,коронавируса,True,10,5.2,0,"['братът', 'на', 'жената', 'на', 'сашо', 'кадиев', 'загуби', 'битката', 'с', 'коронавируса']","['братът', 'на', 'жената', 'на', 'сашо', 'кадиев', 'загуби', 'битката', 'с', 'коронавируса']",3,0,0,1,0
радан кънев съобщи внезапна скръбна вест във фейсбук. починала е д-р минкова,11/1/2021 14:29,167,3,114,petel.bg,0,минкова,True,12,5.416666667,1,"['радан', 'кънев', 'съобщи', 'внезапна', 'скръбна', 'вест', 'във', 'фейсбук', '.', 'починала', 'е', 'д-р', 'минкова']","['радан', 'кънев', 'съобщи', 'внезапна', 'скръбна', 'вест', 'във', 'фейсбук', 'починала', 'е', 'др', 'минкова']",2,2,0,0,0
кадри от мястото! искър излезе от коритото. влачи,11/1/2021 13:40,208,42,28,petel.bg,0,влачи,False,8,5.25,0,"['кадри', 'от', 'мястото', '!', 'искър', 'излезе', 'от', 'коритото', '.', 'влачи']","['кадри', 'от', 'мястото', 'искър', 'излезе', 'от', 'коритото', 'влачи']",2,2,1,1,0
почина милан йосифов,11/1/2021 11:52,405,31,187,petel.bg,0,йосифов,True,3,6.0,0,"['почина', 'милан', 'йосифов']","['почина', 'милан', 'йосифов']",0,0,0,0,0
"пропадна ремонт на герб за 2 милиона лева във варна. хората зоват: върнете ни улицата, както си беше преди",11/1/2021 11:19,401,135,179,petel.bg,0,преди,True,19,4.631578947,0,"['пропадна', 'ремонт', 'на', 'герб', 'за', '2', 'милиона', 'лева', 'във', 'варна', '.', 'хората', 'зоват', ':', 'върнете', 'ни', 'улицата', ',', 'както', 'си', 'беше', 'преди']","['пропадна', 'ремонт', 'на', 'герб', 'за', '2', 'милиона', 'лева', 'във', 'варна', 'хората', 'зоват', 'върнете', 'ни', 'улицата', 'както', 'си', 'беше', 'преди']",8,3,0,1,0
"националната информационна система.105 новозаразени с коронавирус,29 починали",11/1/2021 1:40,45,2,19,petel.bg,0,починали,True,7,10.14285714,0,"['националната', 'информационна', 'система.105', 'новозаразени', 'с', 'коронавирус,29', 'починали']","['националната', 'информационна', 'система105', 'новозаразени', 'с', 'коронавирус29', 'починали']",1,2,0,1,0
5g мрежa в цялата страна до края на годината,11/1/2021 0:35,124,44,78,petel.bg,0,годината,True,9,4.0,0,"['5g', 'мрежa', 'в', 'цялата', 'страна', 'до', 'края', 'на', 'годината']","['5g', 'мрежa', 'в', 'цялата', 'страна', 'до', 'края', 'на', 'годината']",3,0,0,1,0
нова промяна за всички шофьори. до месеци слагат нови стикери на колите ни,10/1/2021 22:54,138,55,95,petel.bg,1,ни,True,13,4.769230769,0,"['нова', 'промяна', 'за', 'всички', 'шофьори', '.', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']","['нова', 'промяна', 'за', 'всички', 'шофьори', 'до', 'месеци', 'слагат', 'нови', 'стикери', 'на', 'колите', 'ни']",7,1,0,1,0
тотомилионер от благоевград си търси шофьор за 1000 лева заплата,10/1/2021 18:35,456,35,130,petel.bg,1,заплата,True,10,5.5,0,"['тотомилионер', 'от', 'благоевград', 'си', 'търси', 'шофьор', 'за', '1000', 'лева', 'заплата']","['тотомилионер', 'от', 'благоевград', 'си', 'търси', 'шофьор', 'за', '1000', 'лева', 'заплата']",3,0,0,0,0
внезапно почина един от водещите кардиохирурзи у нас,10/1/2021 16:59,505,28,469,petel.bg,0,нас,True,8,5.625,0,"['внезапно', 'почина', 'един', 'от', 'водещите', 'кардиохирурзи', 'у', 'нас']","['внезапно', 'почина', 'един', 'от', 'водещите', 'кардиохирурзи', 'у', 'нас']",4,0,0,1,0
откриха и черните кутии на разбилия се индонезийски самолет,10/1/2021 14:07,44,2,1,petel.bg,0,самолет,True,9,5.666666667,0,"['откриха', 'и', 'черните', 'кутии', 'на', 'разбилия', 'се', 'индонезийски', 'самолет']","['откриха', 'и', 'черните', 'кутии', 'на', 'разбилия', 'се', 'индонезийски', 'самолет']",3,0,0,0,0
водолази откриха останки от изчезналия индонезийски самолет,10/1/2021 12:54,65,0,1,petel.bg,0,самолет,True,7,7.571428571,0,"['водолази', 'откриха', 'останки', 'от', 'изчезналия', 'индонезийски', 'самолет']","['водолази', 'откриха', 'останки', 'от', 'изчезналия', 'индонезийски', 'самолет']",1,0,0,1,0
другата седмица решават дали да има ново удължаване на мерките,10/1/2021 11:21,121,9,125,petel.bg,0,мерките,True,10,5.3,0,"['другата', 'седмица', 'решават', 'дали', 'да', 'има', 'ново', 'удължаване', 'на', 'мерките']","['другата', 'седмица', 'решават', 'дали', 'да', 'има', 'ново', 'удължаване', 'на', 'мерките']",4,0,0,0,0
"2400 дози на ваксината срещу covid-19, произведена от moderna, ще пристигне в българия в сряда",10/1/2021 9:04,30,4,21,petel.bg,0,сряда,True,15,5.333333333,0,"['2400', 'дози', 'на', 'ваксината', 'срещу', 'covid-19', ',', 'произведена', 'от', 'moderna', ',', 'ще', 'пристигне', 'в', 'българия', 'в', 'сряда']","['2400', 'дози', 'на', 'ваксината', 'срещу', 'covid19', 'произведена', 'от', 'moderna', 'ще', 'пристигне', 'в', 'българия', 'в', 'сряда']",6,3,0,1,0
вече има обвиняем за смъртта на 8-годишното дете в мездра,10/1/2021 3:22,261,25,10,petel.bg,0,мездра,True,10,4.8,0,"['вече', 'има', 'обвиняем', 'за', 'смъртта', 'на', '8-годишното', 'дете', 'в', 'мездра']","['вече', 'има', 'обвиняем', 'за', 'смъртта', 'на', '8годишното', 'дете', 'в', 'мездра']",5,1,0,1,0
"илияна йотова направи самокритика на президентската институция за думите на радев, че борисов е ""доверено лице на ердоган""",10/1/2021 2:43,90,3,48,petel.bg,0,"ердоган""",True,18,5.833333333,0,"['илияна', 'йотова', 'направи', 'самокритика', 'на', 'президентската', 'институция', 'за', 'думите', 'на', 'радев', ',', 'че', 'борисов', 'е', '``', 'доверено', 'лице', 'на', 'ердоган', ""''""]","['илияна', 'йотова', 'направи', 'самокритика', 'на', 'президентската', 'институция', 'за', 'думите', 'на', 'радев', 'че', 'борисов', 'е', '', 'доверено', 'лице', 'на', 'ердоган', '']",7,3,0,1,0
"единната информационна система: 394 нови случая с ковид, 19 са починали",10/1/2021 1:51,60,0,21,petel.bg,0,починали,True,11,5.545454545,0,"['единната', 'информационна', 'система', ':', '394', 'нови', 'случая', 'с', 'ковид', ',', '19', 'са', 'починали']","['единната', 'информационна', 'система', '394', 'нови', 'случая', 'с', 'ковид', '19', 'са', 'починали']",3,2,0,1,0
румен радев: броенето на гласовете трябва да се излъчва онлайн,9/1/2021 12:58,1751,59,221,petel.bg,0,онлайн,True,10,5.3,0,"['румен', 'радев', ':', 'броенето', 'на', 'гласовете', 'трябва', 'да', 'се', 'излъчва', 'онлайн']","['румен', 'радев', 'броенето', 'на', 'гласовете', 'трябва', 'да', 'се', 'излъчва', 'онлайн']",4,1,0,1,0
"тошко йорданов се появи пред президента с маска ""мутри вън!""",9/1/2021 11:11,1171,20,207,petel.bg,0,"вън!""",True,10,5.1,0,"['тошко', 'йорданов', 'се', 'появи', 'пред', 'президента', 'с', 'маска', '``', 'мутри', 'вън', '!', ""''""]","['тошко', 'йорданов', 'се', 'появи', 'пред', 'президента', 'с', 'маска', '', 'мутри', 'вън', '']",3,3,1,1,0
ексклузивно! доц. мангъров блъсна младо момче с колата. то почна да рита колата. полиция на мястото,9/1/2021 8:55,230,13,142,petel.bg,1,мястото,True,16,5.25,1,"['ексклузивно', '!', 'доц', '.', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', '.', 'то', 'почна', 'да', 'рита', 'колата', '.', 'полиция', 'на', 'мястото']","['ексклузивно', 'доц', 'мангъров', 'блъсна', 'младо', 'момче', 'с', 'колата', 'то', 'почна', 'да', 'рита', 'колата', 'полиция', 'на', 'мястото']",4,4,1,0,0
от пътната агенция - в следващите дни на път само с подготвен за зимата автомобил,9/1/2021 8:03,219,13,15,petel.bg,0,автомобил,True,15,4.466666667,0,"['от', 'пътната', 'агенция', '-', 'в', 'следващите', 'дни', 'на', 'път', 'само', 'с', 'подготвен', 'за', 'зимата', 'автомобил']","['от', 'пътната', 'агенция', 'в', 'следващите', 'дни', 'на', 'път', 'само', 'с', 'подготвен', 'за', 'зимата', 'автомобил']",7,1,0,0,0
"националната информационна система: 753 новозаразени с коронавирус, 61 починали",9/1/2021 3:02,55,2,27,petel.bg,0,починали,True,9,7.888888889,0,"['националната', 'информационна', 'система', ':', '753', 'новозаразени', 'с', 'коронавирус', ',', '61', 'починали']","['националната', 'информационна', 'система', '753', 'новозаразени', 'с', 'коронавирус', '61', 'починали']",1,2,0,1,0
