post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Cluster
"мария бакалова, която впечатли американската кинокритика с ролята си в “борат 2”, е човек на деня на свободна европа.",11/1/2021 19:29,905,47,28,svobodnaev,0,европа.,True,19,5.210526316,0,"['мария', 'бакалова', ',', 'която', 'впечатли', 'американската', 'кинокритика', 'с', 'ролята', 'си', 'в', '“', 'борат', '2', '”', ',', 'е', 'човек', 'на', 'деня', 'на', 'свободна', 'европа', '.']","['мария', 'бакалова', 'която', 'впечатли', 'американската', 'кинокритика', 'с', 'ролята', 'си', 'в', '', 'борат', '2', '', 'е', 'човек', 'на', 'деня', 'на', 'свободна', 'европа']",7,3,0,0
“не можем повече да го отлагаме”. президентът румен радев се срещна онлайн с представители на българската диаспора в чужбина. българите се обединиха около искането за дистанционно гласуване.,11/1/2021 17:50,1872,101,100,svobodnaev,0,гласуване.,True,27,6.074074074,0,"['“', 'не', 'можем', 'повече', 'да', 'го', 'отлагаме', '”', '.', 'президентът', 'румен', 'радев', 'се', 'срещна', 'онлайн', 'с', 'представители', 'на', 'българската', 'диаспора', 'в', 'чужбина', '.', 'българите', 'се', 'обединиха', 'около', 'искането', 'за', 'дистанционно', 'гласуване', '.']","['', 'не', 'можем', 'повече', 'да', 'го', 'отлагаме', '', 'президентът', 'румен', 'радев', 'се', 'срещна', 'онлайн', 'с', 'представители', 'на', 'българската', 'диаспора', 'в', 'чужбина', 'българите', 'се', 'обединиха', 'около', 'искането', 'за', 'дистанционно', 'гласуване']",11,3,0,0
"в началото на 2021 година изглежда по ""турски поток"" вече минава руски газ, но нито има откриване, нито има отговор на въпроса готов ли е изобщо проектът. официални отговори няма. елица симеонова разказва.",11/1/2021 9:25,849,230,88,svobodnaev,0,разказва.,True,33,5.242424242,0,"['в', 'началото', 'на', '2021', 'година', 'изглежда', 'по', '``', 'турски', 'поток', ""''"", 'вече', 'минава', 'руски', 'газ', ',', 'но', 'нито', 'има', 'откриване', ',', 'нито', 'има', 'отговор', 'на', 'въпроса', 'готов', 'ли', 'е', 'изобщо', 'проектът', '.', 'официални', 'отговори', 'няма', '.', 'елица', 'симеонова', 'разказва', '.']","['в', 'началото', 'на', '2021', 'година', 'изглежда', 'по', '', 'турски', 'поток', '', 'вече', 'минава', 'руски', 'газ', 'но', 'нито', 'има', 'откриване', 'нито', 'има', 'отговор', 'на', 'въпроса', 'готов', 'ли', 'е', 'изобщо', 'проектът', 'официални', 'отговори', 'няма', 'елица', 'симеонова', 'разказва']",14,7,0,0
"профилът на тръмп вече не съществува. чрез него президентът обявяваше политики, воюваше с опоненти, разпространяваше информация и дезинформация, дори уволняваше хора.",9/1/2021 16:10,1049,69,232,svobodnaev,0,хора.,True,21,6.952380952,0,"['профилът', 'на', 'тръмп', 'вече', 'не', 'съществува', '.', 'чрез', 'него', 'президентът', 'обявяваше', 'политики', ',', 'воюваше', 'с', 'опоненти', ',', 'разпространяваше', 'информация', 'и', 'дезинформация', ',', 'дори', 'уволняваше', 'хора', '.']","['профилът', 'на', 'тръмп', 'вече', 'не', 'съществува', 'чрез', 'него', 'президентът', 'обявяваше', 'политики', 'воюваше', 'с', 'опоненти', 'разпространяваше', 'информация', 'и', 'дезинформация', 'дори', 'уволняваше', 'хора']",8,5,0,0
"извънпарламентарните партии бяха поотделно на консултации при президента радев. те казаха едно и също нещо: че не вярват в честността на избори, провеждани от герб. от ""демократична българия"" предложиха няколко конкретни мерки, които да намалят риска от манипулации.",9/1/2021 14:00,2648,130,255,svobodnaev,0,манипулации.,True,38,6.026315789,0,"['извънпарламентарните', 'партии', 'бяха', 'поотделно', 'на', 'консултации', 'при', 'президента', 'радев', '.', 'те', 'казаха', 'едно', 'и', 'също', 'нещо', ':', 'че', 'не', 'вярват', 'в', 'честността', 'на', 'избори', ',', 'провеждани', 'от', 'герб', '.', 'от', '``', 'демократична', 'българия', ""''"", 'предложиха', 'няколко', 'конкретни', 'мерки', ',', 'които', 'да', 'намалят', 'риска', 'от', 'манипулации', '.']","['извънпарламентарните', 'партии', 'бяха', 'поотделно', 'на', 'консултации', 'при', 'президента', 'радев', 'те', 'казаха', 'едно', 'и', 'също', 'нещо', 'че', 'не', 'вярват', 'в', 'честността', 'на', 'избори', 'провеждани', 'от', 'герб', 'от', '', 'демократична', 'българия', '', 'предложиха', 'няколко', 'конкретни', 'мерки', 'които', 'да', 'намалят', 'риска', 'от', 'манипулации']",18,8,0,0
"след погрома на ктб отношенията борисов-пеевски станаха ”союз нерошимый”. министерството на икономиката е запазена територия за пеевски, известно е за божидар лукарски. публична тайна е, че пеевски взе на концесия квотата на волен сидеров. министър караниколов защитаваше интересите на певски. същият е и сегашният министър лъчезар борисов, има връзки с пеевски от 2008 г. няма какво да споменавам горанов. това каза банкерът цветан василев, бивш мажоритарен собственик на ктб.",13-01-21 20:56,671,173,24,frognews.bg,0,ктб.,True,69,5.927536232,0,"['след', 'погрома', 'на', 'ктб', 'отношенията', 'борисов-пеевски', 'станаха', '”', 'союз', 'нерошимый', '”', '.', 'министерството', 'на', 'икономиката', 'е', 'запазена', 'територия', 'за', 'пеевски', ',', 'известно', 'е', 'за', 'божидар', 'лукарски', '.', 'публична', 'тайна', 'е', ',', 'че', 'пеевски', 'взе', 'на', 'концесия', 'квотата', 'на', 'волен', 'сидеров', '.', 'министър', 'караниколов', 'защитаваше', 'интересите', 'на', 'певски', '.', 'същият', 'е', 'и', 'сегашният', 'министър', 'лъчезар', 'борисов', ',', 'има', 'връзки', 'с', 'пеевски', 'от', '2008', 'г.', 'няма', 'какво', 'да', 'споменавам', 'горанов', '.', 'това', 'каза', 'банкерът', 'цветан', 'василев', ',', 'бивш', 'мажоритарен', 'собственик', 'на', 'ктб', '.']","['след', 'погрома', 'на', 'ктб', 'отношенията', 'борисовпеевски', 'станаха', '', 'союз', 'нерошимый', '', 'министерството', 'на', 'икономиката', 'е', 'запазена', 'територия', 'за', 'пеевски', 'известно', 'е', 'за', 'божидар', 'лукарски', 'публична', 'тайна', 'е', 'че', 'пеевски', 'взе', 'на', 'концесия', 'квотата', 'на', 'волен', 'сидеров', 'министър', 'караниколов', 'защитаваше', 'интересите', 'на', 'певски', 'същият', 'е', 'и', 'сегашният', 'министър', 'лъчезар', 'борисов', 'има', 'връзки', 'с', 'пеевски', 'от', '2008', 'г', 'няма', 'какво', 'да', 'споменавам', 'горанов', 'това', 'каза', 'банкерът', 'цветан', 'василев', 'бивш', 'мажоритарен', 'собственик', 'на', 'ктб']",25,12,0,0
"ортаците -преди и сега. за общото между борисов и пеевски ще разкаже, както никой досега, бившият мажоритарен собственик на ктб цветан василев.",13-01-21 15:17,1338,179,40,frognews.bg,0,василев.,True,22,5.545454545,0,"['ортаците', '-преди', 'и', 'сега', '.', 'за', 'общото', 'между', 'борисов', 'и', 'пеевски', 'ще', 'разкаже', ',', 'както', 'никой', 'досега', ',', 'бившият', 'мажоритарен', 'собственик', 'на', 'ктб', 'цветан', 'василев', '.']","['ортаците', 'преди', 'и', 'сега', 'за', 'общото', 'между', 'борисов', 'и', 'пеевски', 'ще', 'разкаже', 'както', 'никой', 'досега', 'бившият', 'мажоритарен', 'собственик', 'на', 'ктб', 'цветан', 'василев']",11,5,0,0
днес започва най-големият процес срещу мафията през последните десетилетия. пред съда в италия ще се изправят 355 предполагаеми членове на могъщата мафиотска група ндрангета. над хиляда адвоката и още толкова експерти са ангажирани в наричания „процес на века“.,13-01-21 9:16,1819,403,86,frognews.bg,0,века“.,True,38,5.894736842,0,"['днес', 'започва', 'най-големият', 'процес', 'срещу', 'мафията', 'през', 'последните', 'десетилетия', '.', 'пред', 'съда', 'в', 'италия', 'ще', 'се', 'изправят', '355', 'предполагаеми', 'членове', 'на', 'могъщата', 'мафиотска', 'група', 'ндрангета', '.', 'над', 'хиляда', 'адвоката', 'и', 'още', 'толкова', 'експерти', 'са', 'ангажирани', 'в', 'наричания', '„', 'процес', 'на', 'века', '“', '.']","['днес', 'започва', 'найголемият', 'процес', 'срещу', 'мафията', 'през', 'последните', 'десетилетия', 'пред', 'съда', 'в', 'италия', 'ще', 'се', 'изправят', '355', 'предполагаеми', 'членове', 'на', 'могъщата', 'мафиотска', 'група', 'ндрангета', 'над', 'хиляда', 'адвоката', 'и', 'още', 'толкова', 'експерти', 'са', 'ангажирани', 'в', 'наричания', '', 'процес', 'на', 'века', '']",15,4,0,0
"”при наличието на обвинители като цацаров и гешев, формалната част на „неформалното” им партньорство ще остане скрита. но само в българия, защото финансовото „съвкупление” на „скромните политици” борисов и пеевски е известно на този, който трябва да знае”, коментира цветан василев пред liberta.bg.",9/1/2021 14:24,2450,262,50,frognews.bg,0,liberta.bg.,True,43,5.953488372,0,"['”', 'при', 'наличието', 'на', 'обвинители', 'като', 'цацаров', 'и', 'гешев', ',', 'формалната', 'част', 'на', '„', 'неформалното', '”', 'им', 'партньорство', 'ще', 'остане', 'скрита', '.', 'но', 'само', 'в', 'българия', ',', 'защото', 'финансовото', '„', 'съвкупление', '”', 'на', '„', 'скромните', 'политици', '”', 'борисов', 'и', 'пеевски', 'е', 'известно', 'на', 'този', ',', 'който', 'трябва', 'да', 'знае', '”', ',', 'коментира', 'цветан', 'василев', 'пред', 'liberta.bg', '.']","['', 'при', 'наличието', 'на', 'обвинители', 'като', 'цацаров', 'и', 'гешев', 'формалната', 'част', 'на', '', 'неформалното', '', 'им', 'партньорство', 'ще', 'остане', 'скрита', 'но', 'само', 'в', 'българия', 'защото', 'финансовото', '', 'съвкупление', '', 'на', '', 'скромните', 'политици', '', 'борисов', 'и', 'пеевски', 'е', 'известно', 'на', 'този', 'който', 'трябва', 'да', 'знае', '', 'коментира', 'цветан', 'василев', 'пред', 'libertabg']",20,7,0,0
"борисов отдавна има проблем с журналистите, защото не може да даде отговор на много въпроси, които се натрупаха. това обясни журналистът спас спасов по повод „дупката“ във варна. той посочи, че при последното посещение на премиера в града не е имало журналисти, а само камерите, които пресъздават виртуалната реалност, в която той съществува. журналистът допълни, че на борисов му пречи демокрацията и иска да се изолира.",9/1/2021 10:45,2629,250,121,frognews.bg,0,изолира.,True,66,5.393939394,0,"['борисов', 'отдавна', 'има', 'проблем', 'с', 'журналистите', ',', 'защото', 'не', 'може', 'да', 'даде', 'отговор', 'на', 'много', 'въпроси', ',', 'които', 'се', 'натрупаха', '.', 'това', 'обясни', 'журналистът', 'спас', 'спасов', 'по', 'повод', '„', 'дупката', '“', 'във', 'варна', '.', 'той', 'посочи', ',', 'че', 'при', 'последното', 'посещение', 'на', 'премиера', 'в', 'града', 'не', 'е', 'имало', 'журналисти', ',', 'а', 'само', 'камерите', ',', 'които', 'пресъздават', 'виртуалната', 'реалност', ',', 'в', 'която', 'той', 'съществува', '.', 'журналистът', 'допълни', ',', 'че', 'на', 'борисов', 'му', 'пречи', 'демокрацията', 'и', 'иска', 'да', 'се', 'изолира', '.']","['борисов', 'отдавна', 'има', 'проблем', 'с', 'журналистите', 'защото', 'не', 'може', 'да', 'даде', 'отговор', 'на', 'много', 'въпроси', 'които', 'се', 'натрупаха', 'това', 'обясни', 'журналистът', 'спас', 'спасов', 'по', 'повод', '', 'дупката', '', 'във', 'варна', 'той', 'посочи', 'че', 'при', 'последното', 'посещение', 'на', 'премиера', 'в', 'града', 'не', 'е', 'имало', 'журналисти', 'а', 'само', 'камерите', 'които', 'пресъздават', 'виртуалната', 'реалност', 'в', 'която', 'той', 'съществува', 'журналистът', 'допълни', 'че', 'на', 'борисов', 'му', 'пречи', 'демокрацията', 'и', 'иска', 'да', 'се', 'изолира']",33,11,0,0
"станишев и местан - председателите на двете парламентарни групи на мнозинството, предложиха пеевски за шеф на данс. след това всички мрънкаха, извиваха се - и те, и премиерът орешарски и всички политически мъже. човек не трябва да поема чужда вина. използвах сарказъм, но очевидно е бил неуместен и ми се задава 7 години по-късно същият въпрос. сгреших - и със сарказма, и с това, че го подкрепих.",8/1/2021 20:45,631,73,57,frognews.bg,0,подкрепих.,True,67,4.940298507,0,"['станишев', 'и', 'местан', '-', 'председателите', 'на', 'двете', 'парламентарни', 'групи', 'на', 'мнозинството', ',', 'предложиха', 'пеевски', 'за', 'шеф', 'на', 'данс', '.', 'след', 'това', 'всички', 'мрънкаха', ',', 'извиваха', 'се', '-', 'и', 'те', ',', 'и', 'премиерът', 'орешарски', 'и', 'всички', 'политически', 'мъже', '.', 'човек', 'не', 'трябва', 'да', 'поема', 'чужда', 'вина', '.', 'използвах', 'сарказъм', ',', 'но', 'очевидно', 'е', 'бил', 'неуместен', 'и', 'ми', 'се', 'задава', '7', 'години', 'по-късно', 'същият', 'въпрос', '.', 'сгреших', '-', 'и', 'със', 'сарказма', ',', 'и', 'с', 'това', ',', 'че', 'го', 'подкрепих', '.']","['станишев', 'и', 'местан', 'председателите', 'на', 'двете', 'парламентарни', 'групи', 'на', 'мнозинството', 'предложиха', 'пеевски', 'за', 'шеф', 'на', 'данс', 'след', 'това', 'всички', 'мрънкаха', 'извиваха', 'се', 'и', 'те', 'и', 'премиерът', 'орешарски', 'и', 'всички', 'политически', 'мъже', 'човек', 'не', 'трябва', 'да', 'поема', 'чужда', 'вина', 'използвах', 'сарказъм', 'но', 'очевидно', 'е', 'бил', 'неуместен', 'и', 'ми', 'се', 'задава', '7', 'години', 'покъсно', 'същият', 'въпрос', 'сгреших', 'и', 'със', 'сарказма', 'и', 'с', 'това', 'че', 'го', 'подкрепих']",32,15,0,0
"от бойко борисов научих следното: „без пеевски нищо не можеш да правиш в тази държава, знаеш кой владее съдебната система“. г-н борисов, българското общество е време да разбере, че пеевски е „смокиновият лист“, с който прикривате безобразията на ненаситното ви его. това написа днес в отворено писмо съпругата на шефа на вкс лозан панов - елисавета. ето целият текст:",8/1/2021 15:31,2686,568,94,frognews.bg,0,текст:,True,59,5.237288136,0,"['от', 'бойко', 'борисов', 'научих', 'следното', ':', '„', 'без', 'пеевски', 'нищо', 'не', 'можеш', 'да', 'правиш', 'в', 'тази', 'държава', ',', 'знаеш', 'кой', 'владее', 'съдебната', 'система', '“', '.', 'г-н', 'борисов', ',', 'българското', 'общество', 'е', 'време', 'да', 'разбере', ',', 'че', 'пеевски', 'е', '„', 'смокиновият', 'лист', '“', ',', 'с', 'който', 'прикривате', 'безобразията', 'на', 'ненаситното', 'ви', 'его', '.', 'това', 'написа', 'днес', 'в', 'отворено', 'писмо', 'съпругата', 'на', 'шефа', 'на', 'вкс', 'лозан', 'панов', '-', 'елисавета', '.', 'ето', 'целият', 'текст', ':']","['от', 'бойко', 'борисов', 'научих', 'следното', '', 'без', 'пеевски', 'нищо', 'не', 'можеш', 'да', 'правиш', 'в', 'тази', 'държава', 'знаеш', 'кой', 'владее', 'съдебната', 'система', '', 'гн', 'борисов', 'българското', 'общество', 'е', 'време', 'да', 'разбере', 'че', 'пеевски', 'е', '', 'смокиновият', 'лист', '', 'с', 'който', 'прикривате', 'безобразията', 'на', 'ненаситното', 'ви', 'его', 'това', 'написа', 'днес', 'в', 'отворено', 'писмо', 'съпругата', 'на', 'шефа', 'на', 'вкс', 'лозан', 'панов', 'елисавета', 'ето', 'целият', 'текст']",23,11,0,0
"доналд тръмп е нарушил 250-годишното споразумение на кралския политически елит и техните банки. началото е положено през 1760 година от банковата империя на ротшилд. оттогава се счита, че работи и властва световното правителство. тръмп е нарушил поне няколко от основните правила на властелините – никога срещу конституцията, никога срещу институциите, никога срещу гражданите и пр.",8/1/2021 13:06,1422,929,97,frognews.bg,0,пр.,True,55,5.963636364,0,"['доналд', 'тръмп', 'е', 'нарушил', '250-годишното', 'споразумение', 'на', 'кралския', 'политически', 'елит', 'и', 'техните', 'банки', '.', 'началото', 'е', 'положено', 'през', '1760', 'година', 'от', 'банковата', 'империя', 'на', 'ротшилд', '.', 'оттогава', 'се', 'счита', ',', 'че', 'работи', 'и', 'властва', 'световното', 'правителство', '.', 'тръмп', 'е', 'нарушил', 'поне', 'няколко', 'от', 'основните', 'правила', 'на', 'властелините', '–', 'никога', 'срещу', 'конституцията', ',', 'никога', 'срещу', 'институциите', ',', 'никога', 'срещу', 'гражданите', 'и', 'пр', '.']","['доналд', 'тръмп', 'е', 'нарушил', '250годишното', 'споразумение', 'на', 'кралския', 'политически', 'елит', 'и', 'техните', 'банки', 'началото', 'е', 'положено', 'през', '1760', 'година', 'от', 'банковата', 'империя', 'на', 'ротшилд', 'оттогава', 'се', 'счита', 'че', 'работи', 'и', 'властва', 'световното', 'правителство', 'тръмп', 'е', 'нарушил', 'поне', 'няколко', 'от', 'основните', 'правила', 'на', 'властелините', '', 'никога', 'срещу', 'конституцията', 'никога', 'срещу', 'институциите', 'никога', 'срещу', 'гражданите', 'и', 'пр']",20,8,0,0
"герб събра изключителен ресурс. събра го, щавейки бизнеса в продължение на 15 години. това е огромен финансов ресурс. срещу него не може да се изправи някой, който с гуменки да се надбягва с допингиран състезател. някои сме с гуменки, други са с леко по-добри обувки, но съотношението във финансовите възможности на герб и останалите е драстично.",7/1/2021 19:39,634,99,28,frognews.bg,0,драстично.,True,56,5.196428571,0,"['герб', 'събра', 'изключителен', 'ресурс', '.', 'събра', 'го', ',', 'щавейки', 'бизнеса', 'в', 'продължение', 'на', '15', 'години', '.', 'това', 'е', 'огромен', 'финансов', 'ресурс', '.', 'срещу', 'него', 'не', 'може', 'да', 'се', 'изправи', 'някой', ',', 'който', 'с', 'гуменки', 'да', 'се', 'надбягва', 'с', 'допингиран', 'състезател', '.', 'някои', 'сме', 'с', 'гуменки', ',', 'други', 'са', 'с', 'леко', 'по-добри', 'обувки', ',', 'но', 'съотношението', 'във', 'финансовите', 'възможности', 'на', 'герб', 'и', 'останалите', 'е', 'драстично', '.']","['герб', 'събра', 'изключителен', 'ресурс', 'събра', 'го', 'щавейки', 'бизнеса', 'в', 'продължение', 'на', '15', 'години', 'това', 'е', 'огромен', 'финансов', 'ресурс', 'срещу', 'него', 'не', 'може', 'да', 'се', 'изправи', 'някой', 'който', 'с', 'гуменки', 'да', 'се', 'надбягва', 'с', 'допингиран', 'състезател', 'някои', 'сме', 'с', 'гуменки', 'други', 'са', 'с', 'леко', 'подобри', 'обувки', 'но', 'съотношението', 'във', 'финансовите', 'възможности', 'на', 'герб', 'и', 'останалите', 'е', 'драстично']",29,10,0,0
"логично е партията на г-н пеевски /дпс/ да подкрепи борисов за президентските изори. те са както знаете ортаци в бизнеса и политиката. още повече г-н борисов е довереното лице на турския президент ердоган, който поздрави конференцията на дпс. но аз мисля, че избирателите на дпс са свободни български граждани. сигурно ще се замислят за какво отиват гласовете им. това каза президентът румен радев пред журналисти.",6/1/2021 12:08,2824,112,183,frognews.bg,0,журналисти.,True,65,5.384615385,0,"['логично', 'е', 'партията', 'на', 'г-н', 'пеевски', '/дпс/', 'да', 'подкрепи', 'борисов', 'за', 'президентските', 'изори', '.', 'те', 'са', 'както', 'знаете', 'ортаци', 'в', 'бизнеса', 'и', 'политиката', '.', 'още', 'повече', 'г-н', 'борисов', 'е', 'довереното', 'лице', 'на', 'турския', 'президент', 'ердоган', ',', 'който', 'поздрави', 'конференцията', 'на', 'дпс', '.', 'но', 'аз', 'мисля', ',', 'че', 'избирателите', 'на', 'дпс', 'са', 'свободни', 'български', 'граждани', '.', 'сигурно', 'ще', 'се', 'замислят', 'за', 'какво', 'отиват', 'гласовете', 'им', '.', 'това', 'каза', 'президентът', 'румен', 'радев', 'пред', 'журналисти', '.']","['логично', 'е', 'партията', 'на', 'гн', 'пеевски', 'дпс', 'да', 'подкрепи', 'борисов', 'за', 'президентските', 'изори', 'те', 'са', 'както', 'знаете', 'ортаци', 'в', 'бизнеса', 'и', 'политиката', 'още', 'повече', 'гн', 'борисов', 'е', 'довереното', 'лице', 'на', 'турския', 'президент', 'ердоган', 'който', 'поздрави', 'конференцията', 'на', 'дпс', 'но', 'аз', 'мисля', 'че', 'избирателите', 'на', 'дпс', 'са', 'свободни', 'български', 'граждани', 'сигурно', 'ще', 'се', 'замислят', 'за', 'какво', 'отиват', 'гласовете', 'им', 'това', 'каза', 'президентът', 'румен', 'радев', 'пред', 'журналисти']",28,10,0,0
борисов се готви за президент. такова опростачено управление не е имало от освобождението. това каза пред фрог нюз бившият депутат от герб и експредседател на комисията по досиетата методи андреев. ето какво още обясни той за сегашната политическа обстановка в страната:,5/1/2021 21:02,1673,201,157,frognews.bg,1,страната:,True,41,5.609756098,0,"['борисов', 'се', 'готви', 'за', 'президент', '.', 'такова', 'опростачено', 'управление', 'не', 'е', 'имало', 'от', 'освобождението', '.', 'това', 'каза', 'пред', 'фрог', 'нюз', 'бившият', 'депутат', 'от', 'герб', 'и', 'експредседател', 'на', 'комисията', 'по', 'досиетата', 'методи', 'андреев', '.', 'ето', 'какво', 'още', 'обясни', 'той', 'за', 'сегашната', 'политическа', 'обстановка', 'в', 'страната', ':']","['борисов', 'се', 'готви', 'за', 'президент', 'такова', 'опростачено', 'управление', 'не', 'е', 'имало', 'от', 'освобождението', 'това', 'каза', 'пред', 'фрог', 'нюз', 'бившият', 'депутат', 'от', 'герб', 'и', 'експредседател', 'на', 'комисията', 'по', 'досиетата', 'методи', 'андреев', 'ето', 'какво', 'още', 'обясни', 'той', 'за', 'сегашната', 'политическа', 'обстановка', 'в', 'страната']",18,4,0,0
"професор велислав минеков от „отровно трио” заяви, че се отказва да участва на предстоящите избори като кандидат за народен представител. и няма да се обвързва с политическа партия или гражданско сдружение.",5/1/2021 9:55,2430,86,207,frognews.bg,0,сдружение.,True,31,5.677419355,0,"['професор', 'велислав', 'минеков', 'от', '„', 'отровно', 'трио', '”', 'заяви', ',', 'че', 'се', 'отказва', 'да', 'участва', 'на', 'предстоящите', 'избори', 'като', 'кандидат', 'за', 'народен', 'представител', '.', 'и', 'няма', 'да', 'се', 'обвързва', 'с', 'политическа', 'партия', 'или', 'гражданско', 'сдружение', '.']","['професор', 'велислав', 'минеков', 'от', '', 'отровно', 'трио', '', 'заяви', 'че', 'се', 'отказва', 'да', 'участва', 'на', 'предстоящите', 'избори', 'като', 'кандидат', 'за', 'народен', 'представител', 'и', 'няма', 'да', 'се', 'обвързва', 'с', 'политическа', 'партия', 'или', 'гражданско', 'сдружение']",13,3,0,0
